Seite (Noten),Seite,Buch,Künstler,Titel
397,393,3,Chris Andrews ,Pretty Belinda
229,223,1,Chris de Burgh,The Lady In Red
320,300,1,Chris de Burgh,Crusader
322,302,1,Chris de Burgh,Don't Pay The Ferryman
336,327,1,Chris de Burgh,Waiting for a Hurricane
147,136,2,Chris de Burgh,Spanish Train
187,176,2,Chris de Burgh,A Spaceman Came Travelling
111,111,3,Chris de Burgh,High On Emotion
81,81,4,Chris de Burgh,Sailing Away
100,92,2,Chris Howland,Ich hab das Fräul’n Helen baden seh’n
295,291,3,Chris Isaak,Blue Hotel
367,367,5,Chris Isaak,Wicked game
47,47,4,Chris Norman,Midnight Lady
236,234,3,Chris Norman & Suzi Quatro,Stumblin' In
294,278,1,Chris Rea,Road To Hell
38,38,W,Chris Rea,Driving Home For Christmas
202,193,1,Chris Roberts,Hab Sonne Im Herzen
6,6,4,Chris Roberts,"Hab ich dir heute schon gesagt,... ?"
145,138,1,Christian Anders,Es fährt ein Zug nach Nirgendwo
119,119,4,Christie,San Bernadino
374,374,5,Christie,Yellow river
57,59,3,Christina Aguilera,Beautiful
403,399,3,Christina Aguilera,Hurt
131,131,5,Christina Aguilera,Genie in a bottle
338,333,3,"Christina Aguilera, Lil' Kim, Mya & Pink",Lady Marmalade
266,266,4,Christina Perri,Jar Of Hearts
353,349,3,Christina Stürmer,Ich lebe
246,246,5,Christina Stürmer,Millionen Lichter
354,354,5,Christina Stürmer,Was wirklich bleibt
61,55,2,Christophe,Aline
4,4,4,Christopher Cross,Arthur
283,283,5,Christopher Cross,Ride like the wind
290,290,5,Christopher Cross,Sailing
137,127,2,Chubby Checker,Let's twist again
186,185,3,Chubby Checker ,The Twist
248,234,1,Chuck Berry,Johnny B. Goode
431,401,1,Chumbawamba,Tubthumping
183,182,3,Cindy & Bert,Immer wieder sonntags
16,16,1,Cindy Lauper,Time After Time
162,161,3,City,Am Fenster
25,23,1,Cliff Richard,Rote Lippen soll man küssen
237,235,3,Clout / Righteous brothers,Substitute
31,33,3,Clowns & Helden,Ich liebe dich
125,115,2,Club Nouveau ,Lean On Me
7,7,4,Clueso,Gewinner
65,65,5,Clueso,Chicago
244,232,1,Coalminer's beat,Land Of Green
271,255,1,Coalminer's beat,The Ballad Of Belly O'Connor
272,256,1,Coalminer's beat,Take Me High Above
267,265,3,Cock Robin,The Promise You Made
8,8,4,Colbie Caillat,Bubbly
48,48,5,Colbie Caillat,Brighter Than The Sun
204,201,3,Coldplay,Speed Of Sound
255,253,3,Coldplay,Clocks
388,384,3,Coldplay,In My Place
320,320,4,Coldplay,Viva La Vida
390,387,4,Coldplay,Paradise
199,199,W,Coldplay,Christmas Lights
418,390,1,Comedian Harmonists,Mein kleiner grüner Kaktus
283,271,2,Comedian Harmonists,Ich wollt ich wär ein Huhn
355,351,3,Comedian Harmonists,Wochenend und Sonnenschein
313,313,4,Commodores,Nightshift
174,173,3,Compay Segundo,Guantanamera
284,284,5,Conchita Wurst,Rise Like A Phoenix
219,208,1,Connells,74 - 75
229,227,3,Connie Francis,Die Liebe ist ein seltsames Spiel
116,116,4,Connie Francis,Schöner fremder Mann
147,147,3,Conny Froboess (Jan & Kjeld),Zwei kleine Italiener
230,228,3,Coolio,Gangsta's Paradise
15,15,5,Cora,Amsterdam
207,198,1,Costa Cordalis,Anita
294,290,3,Costa Cordalis ,Viva La Noche
279,264,1,Counting crows,Mr. Jones
338,316,1,Counting crows,Perfect Blue Buildings
211,202,1,Cranberries,Zombie
237,226,2,Cranberries,Ode To My Family
171,162,1,Crash Test Dummies,Mmmm Mmmm Mmmm Mmmm
259,246,2,Crash Test Dummies,God Shuffled His Feet
52,52,5,Cro,Bye Bye
108,108,5,Cro,Einmal um die Welt
424,396,1,"Crosby, Stills, Nash & Young",Teach Your Children
362,358,3,Crowded House,Don't Dream It's Over
356,356,5,Crowded House,Weather with you
334,334,4,Culcha Candela,Hamma
96,96,5,Culture Club,Do you really want to hurt me?
203,203,5,Culture Club,Karma Chameleon
413,298,2,Cutting Crew,(I Just) Died In Your Arms Tonight
39,39,W,Cyndi Lauper,Early Christmas Morning
53,53,W,Cyndi Lauper,Feels Like Christmas
189,178,2,Cyndi Lauper ,Girls Just Want To Have Fun
305,293,2,Cyndi Lauper ,True Colors
133,133,5,Daft Punk Feat. Pharrell Williams,Get Lucky
24,24,5,Daniel Powter,Bad Day
28,28,W,Daniela Andrade,Christmas Time Is Here
238,238,5,Danny Wilson,Mary's prayer
